,email,result,details
0,info@fortstreet-h.schools.nsw.edu.au,,
1,info@fjtbalmain.catholic.edu.au,The email address info@fjtbalmain.catholic.edu.au is valid,"MX records:
aspmx.l.google.com (10)
alt1.aspmx.l.google.com (20)
alt2.aspmx.l.google.com (20)
aspmx2.googlemail.com (30)
aspmx4.googlemail.com (30)
aspmx3.googlemail.com (30)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP 74si17259080otf.14 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK 74si17259080otf.14 - gsmtp
RCPT TO: <info@fjtbalmain.catholic.edu.au>
250 2.1.5 OK 74si17259080otf.14 - gsmtp
QUIT
221 2.0.0 closing connection 74si17259080otf.14 - gsmtp"
2,francisgre-h.school@det.nsw.edu.au,The email address francisgre-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT004.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:21:27 +0000
HELO ip-adress.com
250 SY4AUS01FT004.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <francisgre-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
3,frankpart-p.school@det.nsw.edu.au,The email address frankpart-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT003.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:21:37 +0000
HELO ip-adress.com
250 ME3AUS01FT003.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <frankpart-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT003.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
4,franklin-p.school@det.nsw.edu.au,The email address franklin-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT017.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:21:46 +0000
HELO ip-adress.com
250 SY4AUS01FT017.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <franklin-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
5,info@freemanbonnyrigg.catholic.edu.au,The email address info@freemanbonnyrigg.catholic.edu.au is valid,"MX records:
aspmx.l.google.com (10)
alt2.aspmx.l.google.com (20)
alt1.aspmx.l.google.com (20)
aspmx4.googlemail.com (30)
aspmx3.googlemail.com (30)
aspmx2.googlemail.com (30)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP j17si29085336otu.222 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK j17si29085336otu.222 - gsmtp
RCPT TO: <info@freemanbonnyrigg.catholic.edu.au>
250 2.1.5 OK j17si29085336otu.222 - gsmtp
QUIT
221 2.0.0 closing connection j17si29085336otu.222 - gsmtp"
6,frenchsfor-p.school@det.nsw.edu.au,The email address frenchsfor-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT010.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:22:03 +0000
HELO ip-adress.com
250 ME3AUS01FT010.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <frenchsfor-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
7,winzerow@gmail.com,The email address winzerow@gmail.com is valid,"MX records:
gmail-smtp-in.l.google.com (5)
alt1.gmail-smtp-in.l.google.com (10)
alt2.gmail-smtp-in.l.google.com (20)
alt3.gmail-smtp-in.l.google.com (30)
alt4.gmail-smtp-in.l.google.com (40)

connected to gmail-smtp-in.l.google.com

dialog with gmail-smtp-in.l.google.com ok

220 mx.google.com ESMTP g2si23048540wmc.41 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK g2si23048540wmc.41 - gsmtp
RCPT TO: <winzerow@gmail.com>
250 2.1.5 OK g2si23048540wmc.41 - gsmtp
QUIT
221 2.0.0 closing connection g2si23048540wmc.41 - gsmtp"
8,gskiddmem-s.school@det.nsw.edu.au,The email address gskiddmem-s.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT011.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:22:19 +0000
HELO ip-adress.com
250 ME3AUS01FT011.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gskiddmem-s.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
9,info.01571@sydstu.catholic.edu.au,The email address info.01571@sydstu.catholic.edu.au is valid,"MX records:
aspmx.l.google.com (10)
alt2.aspmx.l.google.com (20)
alt1.aspmx.l.google.com (20)
aspmx4.googlemail.com (30)
aspmx3.googlemail.com (30)
aspmx2.googlemail.com (30)
aspmx5.googlemail.com (30)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP s14si14055626wrw.37 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK s14si14055626wrw.37 - gsmtp
RCPT TO: <info.01571@sydstu.catholic.edu.au>
250 2.1.5 OK s14si14055626wrw.37 - gsmtp
QUIT
221 2.0.0 closing connection s14si14055626wrw.37 - gsmtp"
